company,model,fuel_type,seller_type,transmission,owner,car_age,avg_km_per_year,km_driven_log,model_cluster,company_fuel_owner,km_carage_interact,predicted_price,actual_price
Maruti,Wagon R VXI,Petrol,Individual,Manual,Second Owner,9,2888.8888888888887,10.165890277802454,2,Maruti_Petrol_Second Owner,91.49301250022208,118658180.0,117425000
Mahindra,Bolero DI,Diesel,Individual,Manual,Second Owner,17,7058.823529411765,11.695255355062795,10,Mahindra_Diesel_Second Owner,198.8193410360675,75059380.0,57950000
Hyundai,i20 Asta Optional,Petrol,Individual,Manual,Multiple Owners,15,6000.0,11.407576060361786,13,Hyundai_Petrol_Multiple Owners,171.1136409054268,78089260.0,67100000
Hyundai,Xcent 1.1 CRDi,Diesel,Individual,Manual,Second Owner,9,3777.777777777778,10.434145214930487,9,Hyundai_Diesel_Second Owner,93.90730693437438,162752450.0,179950000
Chevrolet,Beat Diesel,Diesel,Individual,Manual,Second Owner,12,5000.0,11.002116507732017,4,Chevrolet_Diesel_Second Owner,132.0253980927842,75169976.0,61000000
Maruti,Eeco 5 Seater,Petrol,Individual,Manual,First Owner,10,7200.0,11.184435286790631,1,Maruti_Petrol_First Owner,111.84435286790631,103444440.0,94550000
Maruti,Alto LXi BSIII,Petrol,Individual,Manual,First Owner,15,1333.3333333333333,9.90353755128617,13,Maruti_Petrol_First Owner,148.55306326929255,61361332.0,50325000
Mahindra,Scorpio 2.6 Turbo,Diesel,Individual,Manual,Second Owner,17,5882.35294117647,11.51293546492023,10,Mahindra_Diesel_Second Owner,195.71990290364388,112200250.0,97600000
Maruti,Ritz VDi,Diesel,Individual,Manual,First Owner,14,11785.714285714286,12.013706813470414,12,Maruti_Diesel_First Owner,168.1918953885858,64627396.0,83875000
Maruti,Swift VDI,Diesel,Individual,Manual,First Owner,14,15000.0,12.25486757159303,12,Maruti_Diesel_First Owner,171.56814600230243,95423110.0,85400000
Ford,Figo Petrol EXI,Petrol,Individual,Manual,First Owner,15,2000.0,10.308985993422082,13,Ford_Petrol_First Owner,154.63478990133123,73972104.0,122000000
Renault,Duster 85PS Diesel,Diesel,Individual,Manual,First Owner,9,4444.444444444444,10.596659732783579,9,Renault_Diesel_First Owner,95.3699375950522,181028160.0,157075000
Maruti,SX4 Vxi BSIII,Petrol,Individual,Manual,Second Owner,18,6666.666666666667,11.695255355062795,14,Maruti_Petrol_Second Owner,210.5145963911303,48224532.0,48800000
Maruti,Alto K10 VXI,Petrol,Individual,Manual,Second Owner,9,2222.222222222222,9.90353755128617,2,Maruti_Petrol_Second Owner,89.13183796157554,95167340.0,76250000
Ford,Figo 1.2P Titanium,Petrol,Individual,Manual,First Owner,9,4888.888888888889,10.691967639914864,2,Ford_Petrol_First Owner,96.22770875923378,127253140.0,167750000
Ford,Figo Diesel Celebration,Diesel,Individual,Manual,First Owner,12,8691.666666666666,11.55503622867061,4,Ford_Diesel_First Owner,138.66043474404734,76695016.0,83875000
Tata,Tiago 1.2 Revotron,Petrol,Individual,Manual,First Owner,7,5714.285714285715,10.596659732783579,6,Tata_Petrol_First Owner,74.17661812948505,131757730.0,122000000
Mahindra,Scorpio VLS AT,Diesel,Individual,Automatic,Multiple Owners,13,9230.76923076923,11.695255355062795,12,Mahindra_Diesel_Multiple Owners,152.03831961581633,147719170.0,134200000
Tata,Tiago 1.2 Revotron,Petrol,Individual,Manual,First Owner,8,5000.0,10.596659732783579,2,Tata_Petrol_First Owner,84.77327786226863,124637330.0,122000000
Chevrolet,Enjoy TCDi LTZ,Diesel,Individual,Manual,First Owner,12,7500.0,11.407576060361786,4,Chevrolet_Diesel_First Owner,136.89091272434143,101410280.0,91500000
Mahindra,Verito 1.4 G4,Petrol,Individual,Manual,Second Owner,13,8461.538461538461,11.608244735642321,5,Mahindra_Petrol_Second Owner,150.90718156335018,86255490.0,54900000
Renault,KWID AMT,Petrol,Individual,Automatic,Second Owner,7,4285.714285714285,10.308985993422082,6,Renault_Petrol_Second Owner,72.16290195395457,129065256.0,122000000
Maruti,Ritz VXi (ABS),Petrol,Individual,Manual,Second Owner,15,8000.0,11.695255355062795,13,Maruti_Petrol_Second Owner,175.42883032594193,52996710.0,51850000
Tata,Indica Vista Aqua,Diesel,Individual,Manual,Second Owner,14,14285.714285714286,12.206077645517674,12,Tata_Diesel_Second Owner,170.88508703724744,53047524.0,42700000
Tata,Sumo MKII GX,Diesel,Individual,Manual,Second Owner,14,6428.571428571428,11.407576060361786,12,Tata_Diesel_Second Owner,159.706064845065,61570244.0,76250000
Maruti,A-Star Vxi,Petrol,Individual,Manual,First Owner,13,4615.384615384615,11.002116507732017,5,Maruti_Petrol_First Owner,143.0275146005162,73103820.0,83875000
Maruti,Alto LXi,Petrol,Individual,Manual,Second Owner,17,4705.882352941177,11.289794413577894,14,Maruti_Petrol_Second Owner,191.92650503082422,38734130.0,33550000
Maruti,Alto LX BSIII,Petrol,Individual,Manual,Second Owner,18,6666.666666666667,11.695255355062795,14,Maruti_Petrol_Second Owner,210.5145963911303,32141972.0,36600000
Tata,Indica Vista TDI,Diesel,Individual,Manual,Second Owner,13,7307.692307692308,11.461642696843066,12,Tata_Diesel_Second Owner,149.00135505895986,51949252.0,36295000
Toyota,Etios GD,Diesel,Individual,Manual,Second Owner,9,16111.111111111111,11.884495917930655,9,Toyota_Diesel_Second Owner,106.96046326137589,169776160.0,173850000
Maruti,Swift Dzire Vdi,Diesel,Individual,Manual,First Owner,8,10256.25,11.3150962841344,8,Maruti_Diesel_First Owner,90.5207702730752,173505730.0,198250000
Ford,Figo Aspire 1.5,Diesel,Individual,Manual,First Owner,8,4375.0,10.463131911491967,8,Ford_Diesel_First Owner,83.70505529193574,159133540.0,189100000
Ford,Fiesta Classic 1.4,Diesel,Individual,Manual,Second Owner,16,6250.0,11.51293546492023,0,Ford_Diesel_Second Owner,184.20696743872367,65748516.0,57950000
Maruti,Wagon R LXI,CNG,Individual,Manual,First Owner,8,13750.0,11.608244735642321,8,Maruti_CNG_First Owner,92.86595788513857,112467864.0,122000000
Maruti,Wagon R LXI,Petrol,Individual,Manual,Multiple Owners,16,7500.0,11.695255355062795,13,Maruti_Petrol_Multiple Owners,187.12408568100471,40119200.0,38125000
Tata,Tiago 1.2 Revotron,Petrol,Individual,Manual,First Owner,7,3571.4285714285716,10.12667110305036,6,Tata_Petrol_First Owner,70.88669772135252,135996100.0,152500000
Hyundai,i10 Magna,Petrol,Individual,Manual,Second Owner,17,6470.588235294118,11.608244735642321,14,Hyundai_Petrol_Second Owner,197.34016050591947,41433824.0,59475000
Hyundai,i20 Asta Optional,Petrol,Dealer,Manual,First Owner,12,5125.0,11.026808713825016,5,Hyundai_Petrol_First Owner,132.32170456590018,124793150.0,160125000
Hyundai,Santro Asta BSIV,Petrol,Dealer,Manual,First Owner,7,1000.0,8.853808274977197,6,Hyundai_Petrol_First Owner,61.97665792484038,174744400.0,164700000
Maruti,Zen Estilo LXI,CNG,Individual,Manual,Second Owner,11,6363.636363636364,11.156264806643742,7,Maruti_CNG_Second Owner,122.71891287308117,90539060.0,71675000
Hyundai,i20 Asta 1.4,Diesel,Individual,Manual,Second Owner,15,9000.0,11.813037464800539,0,Hyundai_Diesel_Second Owner,177.19556197200808,97566830.0,97600000
Hyundai,Verna 1.6 CRDi,Diesel,Individual,Manual,First Owner,10,2300.0,10.043292972227004,7,Hyundai_Diesel_First Owner,100.43292972227005,178399180.0,175375000
Maruti,800 AC,Petrol,Individual,Manual,Second Owner,14,8571.42857142857,11.695255355062795,11,Maruti_Petrol_Second Owner,163.73357497087912,44367828.0,30500000
Hyundai,Elite i20 Petrol,Petrol,Individual,Manual,First Owner,6,1666.6666666666667,9.210440366976517,6,Hyundai_Petrol_First Owner,55.2626422018591,176459800.0,179950000
Mahindra,Bolero 2011-2019 SLX,Diesel,Individual,Manual,First Owner,11,8181.818181818182,11.407576060361786,7,Mahindra_Diesel_First Owner,125.48333666397964,163187950.0,152500000
Maruti,Eeco 7 Seater,Petrol,Individual,Manual,First Owner,6,916.6666666666666,8.612685172875459,6,Maruti_Petrol_First Owner,51.67611103725275,128059370.0,109495000
Maruti,Alto K10 VXI,Petrol,Individual,Manual,Second Owner,11,7272.727272727273,11.289794413577894,1,Maruti_Petrol_Second Owner,124.18773854935684,67836200.0,73200000
Nissan,Micra Diesel XV,Diesel,Individual,Manual,First Owner,14,3571.4285714285716,10.819798284210286,12,Nissan_Diesel_First Owner,151.477175978944,84505600.0,76250000
Honda,City 2017-2020 EXi,Petrol,Individual,Manual,Second Owner,17,6470.588235294118,11.608244735642321,14,Honda_Petrol_Second Owner,197.34016050591947,66191384.0,32025000
Honda,City V MT,Petrol,Individual,Manual,First Owner,13,9230.76923076923,11.695255355062795,5,Honda_Petrol_First Owner,152.03831961581633,112596376.0,167750000
Hyundai,i10 Sportz,Petrol,Individual,Manual,First Owner,12,3333.3333333333335,10.596659732783579,5,Hyundai_Petrol_First Owner,127.15991679340294,102458984.0,91500000
Chevrolet,Sail Hatchback Diesel,Diesel,Individual,Manual,Second Owner,12,8333.333333333334,11.51293546492023,4,Chevrolet_Diesel_Second Owner,138.15522557904274,100188824.0,68625000
Ford,Figo 1.5D Titanium,Diesel,Individual,Manual,First Owner,10,8000.0,11.289794413577894,7,Ford_Diesel_First Owner,112.89794413577894,149016960.0,146400000
Hyundai,Verna CRDi SX,Diesel,Individual,Manual,Second Owner,15,6000.0,11.407576060361786,0,Hyundai_Diesel_Second Owner,171.1136409054268,89190330.0,57950000
Maruti,Swift Dzire VDi,Diesel,Individual,Manual,Multiple Owners,13,6923.076923076923,11.407576060361786,12,Maruti_Diesel_Multiple Owners,148.2984887847032,104045970.0,97600000
Ford,Figo Diesel Celebration,Diesel,Individual,Manual,Second Owner,12,5833.333333333333,11.156264806643742,4,Ford_Diesel_Second Owner,133.8751776797249,93036810.0,74725000
Maruti,Alto K10 2010-2014,Petrol,Individual,Manual,First Owner,13,1000.0,9.472781556562168,5,Maruti_Petrol_First Owner,123.14616023530819,64327390.0,67100000
Renault,Duster 85PS Diesel,Diesel,Dealer,Manual,Second Owner,12,12682.166666666666,11.932865306832705,4,Renault_Diesel_Second Owner,143.19438368199246,134642300.0,129625000
Hyundai,EON 1.0 Era,Petrol,Individual,Manual,First Owner,8,3125.0,10.12667110305036,2,Hyundai_Petrol_First Owner,81.01336882440287,93817940.0,103395000
Tata,Tiago 1.2 Revotron,Petrol,Individual,Manual,First Owner,7,14285.714285714286,11.51293546492023,8,Tata_Petrol_First Owner,80.5905482544416,160065000.0,99125000
Tata,Zest Quadrajet 1.3,Diesel,Individual,Manual,First Owner,6,2500.0,9.61587214452889,6,Tata_Diesel_First Owner,57.69523286717334,155804030.0,198250000
Tata,Indigo LX,Diesel,Individual,Manual,First Owner,15,8000.0,11.695255355062795,0,Tata_Diesel_First Owner,175.42883032594193,52232780.0,39650000
Renault,KWID RXT,Petrol,Individual,Manual,First Owner,8,3500.0,10.239995502805316,2,Renault_Petrol_First Owner,81.91996402244253,102872216.0,97600000
Mahindra,XUV500 W6 2WD,Diesel,Dealer,Manual,First Owner,12,7142.5,11.358736451074895,4,Mahindra_Diesel_First Owner,136.30483741289873,179557980.0,198250000
Skoda,Superb 1.8 TSI,Petrol,Individual,Automatic,Second Owner,15,4000.0,11.002116507732017,13,Skoda_Petrol_Second Owner,165.03174761598027,83925370.0,122000000
Maruti,Wagon R LXI,Petrol,Individual,Manual,First Owner,16,7500.0,11.695255355062795,13,Maruti_Petrol_First Owner,187.12408568100471,42135492.0,67100000
Maruti,Swift Dzire VXI,Petrol,Individual,Manual,First Owner,12,5583.333333333333,11.112462823634855,5,Maruti_Petrol_First Owner,133.34955388361826,116545450.0,137250000
Maruti,Alto K10 VXI,Petrol,Dealer,Manual,First Owner,7,1471.4285714285713,9.239996256883693,6,Maruti_Petrol_First Owner,64.67997379818584,121045860.0,118950000
Hyundai,EON Magna Plus,Petrol,Individual,Manual,First Owner,9,4533.333333333333,10.616461869895815,2,Hyundai_Petrol_First Owner,95.54815682906234,97505410.0,91500000
Tata,Manza Club Class,Diesel,Individual,Manual,First Owner,12,4166.666666666667,10.819798284210286,4,Tata_Diesel_First Owner,129.83757941052343,92254260.0,76250000
Tata,New Safari 3L,Diesel,Individual,Manual,Second Owner,18,6666.666666666667,11.695255355062795,10,Tata_Diesel_Second Owner,210.5145963911303,75758904.0,61000000
Hyundai,EON Era Plus,Petrol,Individual,Manual,Second Owner,8,2500.0,9.90353755128617,2,Hyundai_Petrol_Second Owner,79.22830041028936,94242424.0,106750000
Maruti,Swift Dzire VDi,Diesel,Individual,Manual,First Owner,14,8928.57142857143,11.736077016252437,12,Maruti_Diesel_First Owner,164.30507822753412,96294240.0,91500000
Maruti,Baleno Delta 1.2,Petrol,Individual,Manual,First Owner,7,4285.714285714285,10.308985993422082,6,Maruti_Petrol_First Owner,72.16290195395457,183736980.0,167750000
Tata,Indigo CS LS,Diesel,Individual,Manual,Multiple Owners,13,9230.76923076923,11.695255355062795,12,Tata_Diesel_Multiple Owners,152.03831961581633,51095456.0,51850000
Mahindra,KUV 100 mFALCON,Petrol,Individual,Manual,Second Owner,8,2500.0,9.90353755128617,2,Mahindra_Petrol_Second Owner,79.22830041028936,124868960.0,131150000
Hyundai,Santro Xing XL,Petrol,Individual,Manual,First Owner,18,3555.5555555555557,11.06665398721974,14,Hyundai_Petrol_First Owner,199.1997717699553,47200924.0,27450000
Maruti,Swift Dzire VDi,Diesel,Individual,Manual,Multiple Owners,14,9821.42857142857,11.83138646878959,12,Maruti_Diesel_Multiple Owners,165.63941056305427,87113870.0,106750000
Tata,Indigo CS LX,Diesel,Individual,Manual,Second Owner,10,8000.0,11.289794413577894,7,Tata_Diesel_Second Owner,112.89794413577894,99541540.0,76250000
Maruti,Ritz LXI,Petrol,Individual,Manual,First Owner,14,2857.1428571428573,10.596659732783579,11,Maruti_Petrol_First Owner,148.3532362589701,69941570.0,65575000
Maruti,Swift Dzire VXI,Petrol,Individual,Manual,First Owner,11,2727.2727272727275,10.308985993422082,1,Maruti_Petrol_First Owner,113.39884592764291,152134060.0,137250000
Tata,Safari Storme EX,Diesel,Individual,Manual,First Owner,11,26543.363636363636,12.584433735946279,7,Tata_Diesel_First Owner,138.42877109540908,159156110.0,152500000
Hyundai,i20 Magna 1.4,Diesel,Individual,Manual,First Owner,12,5750.0,11.141876276228,4,Hyundai_Diesel_First Owner,133.702515314736,121276730.0,137859695
Maruti,Ritz ZXi,Petrol,Individual,Manual,Second Owner,13,5384.615384615385,11.156264806643742,5,Maruti_Petrol_Second Owner,145.03144248636866,102955790.0,83875000
Maruti,Alto LXi,Petrol,Individual,Manual,First Owner,18,3888.8888888888887,11.156264806643742,14,Maruti_Petrol_First Owner,200.81276651958737,35300030.0,30500000
Hyundai,Elite i20 Magna,Petrol,Individual,Manual,First Owner,6,1666.6666666666667,9.210440366976517,6,Hyundai_Petrol_First Owner,55.2626422018591,187158850.0,183000000
Mahindra,Xylo E4,Diesel,Individual,Manual,First Owner,15,8000.0,11.695255355062795,0,Mahindra_Diesel_First Owner,175.42883032594193,61501020.0,91500000
Chevrolet,Beat Diesel LT,Diesel,Individual,Manual,Second Owner,11,6909.090909090909,11.23850177707664,7,Chevrolet_Diesel_Second Owner,123.62351954784305,69337416.0,51850000
Maruti,Wagon R VXI,Petrol,Individual,Manual,First Owner,14,4285.714285714285,11.002116507732017,11,Maruti_Petrol_First Owner,154.02963110824825,62931136.0,114680000
Maruti,Swift Dzire 1.2,Petrol,Individual,Manual,Second Owner,15,4000.0,11.002116507732017,13,Maruti_Petrol_Second Owner,165.03174761598027,75377620.0,91500000
Renault,KWID RXL,Petrol,Individual,Manual,First Owner,8,5000.0,10.596659732783579,2,Renault_Petrol_First Owner,84.77327786226863,93917750.0,76250000
Honda,Accord V6 AT,Petrol,Individual,Automatic,Second Owner,20,4000.0,11.289794413577894,3,Honda_Petrol_Second Owner,225.79588827155789,54689824.0,86925000
Hyundai,Santro Xing GL,Petrol,Individual,Manual,Multiple Owners,14,2857.1428571428573,10.596659732783579,11,Hyundai_Petrol_Multiple Owners,148.3532362589701,49599550.0,45750000
Chevrolet,Optra Magnum 2.0,Diesel,Individual,Manual,Second Owner,17,7058.823529411765,11.695255355062795,10,Chevrolet_Diesel_Second Owner,198.8193410360675,63352590.0,68625000
Maruti,Swift VXI BSIV,Petrol,Dealer,Manual,First Owner,7,7428.571428571428,10.859018228147887,6,Maruti_Petrol_First Owner,76.01312759703521,173185100.0,186050000
Maruti,Swift LDI,Diesel,Dealer,Manual,First Owner,10,5929.2,10.990246534173238,7,Maruti_Diesel_First Owner,109.90246534173238,156151230.0,150975000
Maruti,Wagon R AX,Petrol,Individual,Automatic,Second Owner,19,5263.1578947368425,11.51293546492023,3,Maruti_Petrol_Second Owner,218.74577383348435,24065216.0,30500000
Hyundai,Grand i10 1.2,Petrol,Individual,Manual,First Owner,6,1666.6666666666667,9.210440366976517,6,Hyundai_Petrol_First Owner,55.2626422018591,171235200.0,167750000
Maruti,Swift ZXI BSIII,Petrol,Individual,Manual,Second Owner,19,2315.7894736842104,10.691967639914864,3,Maruti_Petrol_Second Owner,203.1473851583824,38785730.0,36600000
Tata,Zest Quadrajet 1.3,Diesel,Individual,Manual,First Owner,9,13333.333333333334,11.695255355062795,9,Tata_Diesel_First Owner,105.25729819556516,124819360.0,97600000
Renault,KWID RXT Optional,Petrol,Individual,Manual,First Owner,7,1874.2857142857142,9.481969279105716,6,Renault_Petrol_First Owner,66.37378495374001,110973040.0,118950000
Fiat,Grande Punto 1.3,Diesel,Individual,Manual,First Owner,13,5384.615384615385,11.156264806643742,12,Fiat_Diesel_First Owner,145.03144248636866,90663180.0,137250000
Maruti,Ciaz VDi Plus,Diesel,Individual,Manual,First Owner,10,5000.0,10.819798284210286,7,Maruti_Diesel_First Owner,108.19798284210286,180589780.0,183000000
Maruti,Swift VDI BSIV,Diesel,Individual,Manual,Second Owner,17,5294.117647058823,11.407576060361786,10,Maruti_Diesel_Second Owner,193.92879302615034,73173860.0,76250000
Hyundai,Sonata 2.4 GDi,Petrol,Individual,Manual,Second Owner,13,25384.615384615383,12.706850963741102,5,Hyundai_Petrol_Second Owner,165.18906252863434,159615950.0,152500000
Maruti,Swift Dzire VDI,Diesel,Individual,Manual,First Owner,11,10909.09090909091,11.695255355062795,7,Maruti_Diesel_First Owner,128.64780890569074,148102910.0,176900000
Nissan,Terrano XV Premium,Diesel,Individual,Manual,First Owner,11,3636.3636363636365,10.596659732783579,7,Nissan_Diesel_First Owner,116.56325706061936,161685500.0,144875000
Ford,Fiesta 1.4 ZXi,Diesel,Individual,Manual,First Owner,19,10578.947368421053,12.211065162153215,3,Ford_Diesel_First Owner,232.01023808091108,63130080.0,16775000
Hyundai,i10 Asta,Petrol,Individual,Manual,First Owner,13,1923.076923076923,10.12667110305036,5,Hyundai_Petrol_First Owner,131.64672433965467,102216620.0,106750000
Skoda,Rapid 1.6 MPI,Petrol,Individual,Manual,First Owner,13,8923.076923076924,11.661354090741,5,Skoda_Petrol_First Owner,151.59760317963298,98381930.0,117425000
Hyundai,Verna 1.6 CRDI,Diesel,Individual,Manual,First Owner,12,7708.333333333333,11.434974734252892,4,Hyundai_Diesel_First Owner,137.2196968110347,149357520.0,161650000
Hyundai,Verna 1.6 CRDI,Diesel,Individual,Manual,Second Owner,13,7973.461538461538,11.548833003308646,12,Hyundai_Diesel_Second Owner,150.1348290430124,124092344.0,122000000
Hyundai,EON Era Plus,Petrol,Individual,Manual,Second Owner,13,3846.153846153846,10.819798284210286,5,Hyundai_Petrol_Second Owner,140.65737769473373,58008936.0,56425000
Maruti,Alto LX,Petrol,Individual,Manual,First Owner,13,8461.538461538461,11.608244735642321,5,Maruti_Petrol_First Owner,150.90718156335018,69515650.0,48800000
Maruti,Swift Dzire VDi,Diesel,Individual,Manual,Multiple Owners,13,5384.615384615385,11.156264806643742,12,Maruti_Diesel_Multiple Owners,145.03144248636866,113818970.0,115900000
Maruti,Swift Dzire VXI,Petrol,Individual,Manual,First Owner,8,8750.0,11.156264806643742,2,Maruti_Petrol_First Owner,89.25011845314994,157742800.0,160125000
Mahindra,TUV 300 T8,Diesel,Individual,Manual,First Owner,9,12222.222222222223,11.608244735642321,9,Mahindra_Diesel_First Owner,104.47420262078089,186943920.0,155549695
Maruti,Swift Dzire VDi,Diesel,Individual,Manual,Second Owner,15,12666.666666666666,12.154784614286667,0,Maruti_Diesel_Second Owner,182.32176921430002,83924690.0,106750000
Maruti,Wagon R VXI,Petrol,Individual,Manual,First Owner,8,3750.0,10.308985993422082,2,Maruti_Petrol_First Owner,82.47188794737666,134473820.0,128100000
Maruti,Swift Dzire VDI,Diesel,Individual,Manual,First Owner,8,8750.0,11.156264806643742,8,Maruti_Diesel_First Owner,89.25011845314994,188196380.0,198250000
